,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
4209,4.0,14.0,Leona,,3.0,166.0,301.0,166.0,6.0,0.5,0.0,10.0,23.0,11870.0,0.0,30.0,12350,4602,Other,Few
4210,4.0,7.0,Jinx,Side.red,2.0,112.0,280.0,112.0,5.0,0.6,1.0,11.0,8.0,12661.0,0.0,9.0,80341,6722,Other,Many
4211,4.0,12.0,Sylas,Side.red,8.0,5472.0,10845.0,5472.0,8.0,1.5,4.0,18.0,19.0,37559.0,3.0,13.0,225797,16081,Other,Many
4212,4.0,7.0,MissFortune,Side.blue,3.0,1544.0,6704.0,1544.0,5.0,0.8,1.0,12.0,3.0,10019.0,0.0,14.0,108512,8948,Other,Many
4213,3.0,14.0,Yuumi,Side.blue,14.0,1002.0,1204.0,1002.0,1.0,,4.0,10.0,11.0,3447.0,1.0,38.0,12295,6944,Other,Few
4214,4.0,3.0,Soraka,Side.red,27.0,1036.0,3128.0,1036.0,4.0,7.25,2.0,14.0,,,1.0,40.0,13304,8364,Other,Few
4215,12.0,4.0,Jax,Side.red,4.0,15641.0,19363.0,15641.0,7.0,0.857142857,2.0,16.0,15.0,24777.0,5.0,13.0,192663,14637,TopLane_Jungle,Many
4216,12.0,4.0,Aatrox,Side.blue,0.0,1800.0,5939.0,,6.0,0.666666667,4.0,15.0,12.0,30720.0,1.0,26.0,134211,10939,TopLane_Jungle,Many
4217,4.0,12.0,Camille,Side.blue,8.0,1751.0,6127.0,1751.0,9.0,1.111111111,2.0,13.0,12.0,23275.0,0.0,12.0,77778,8150,TopLane_Jungle,Many
4218,14.0,4.0,Karma,Side.blue,11.0,0.0,,0.0,5.0,3.4,6.0,12.0,33.0,17456.0,0.0,77.0,31167,9061,Other,Few
4219,4.0,1.0,,,5.0,2587.0,,,6.0,1.666666667,5.0,12.0,23.0,16911.0,2.0,39.0,106830,10666,Other,Many
4220,4.0,14.0,Rumble,Side.red,9.0,,,1048.0,5.0,3.4,8.0,15.0,11.0,15223.0,0.0,26.0,125613,11501,Other,Many
4221,4.0,11.0,Trundle,Side.red,5.0,0.0,3743.0,0.0,5.0,2.8,9.0,14.0,,39585.0,0.0,28.0,117875,12226,TopLane_Jungle,Few
4222,3.0,4.0,MissFortune,Side.red,6.0,2344.0,3633.0,2344.0,8.0,1.75,8.0,12.0,9.0,19520.0,0.0,14.0,70353,9560,Other,Many
4223,14.0,12.0,Camille,Side.red,12.0,8342.0,8579.0,8342.0,3.0,,7.0,15.0,24.0,24176.0,3.0,31.0,120169,12447,TopLane_Jungle,Many
4224,12.0,4.0,,Side.red,9.0,0.0,4348.0,0.0,7.0,1.714285714,3.0,15.0,37.0,15166.0,0.0,24.0,143642,10323,Other,Many
4225,4.0,11.0,Ekko,Side.red,8.0,1566.0,14480.0,1566.0,9.0,1.666666667,7.0,17.0,15.0,36637.0,1.0,33.0,188042,13637,TopLane_Jungle,Few
4226,4.0,11.0,Lillia,Side.blue,9.0,,1477.0,52.0,9.0,2.0,9.0,14.0,24.0,25479.0,0.0,28.0,124539,11427,TopLane_Jungle,Few
4227,4.0,12.0,TwistedFate,Side.red,12.0,3868.0,5818.0,3868.0,5.0,3.4,5.0,14.0,56.0,,1.0,15.0,120904,11843,Other,Many
4228,4.0,1.0,Xerath,Side.red,3.0,427.0,427.0,427.0,2.0,2.5,2.0,12.0,12.0,6443.0,0.0,12.0,102925,7771,Other,Many
4229,4.0,,Jax,Side.blue,8.0,10106.0,29887.0,10106.0,3.0,7.666666667,15.0,17.0,23.0,27402.0,4.0,34.0,227601,19296,TopLane_Jungle,Many
4230,4.0,12.0,Syndra,Side.red,10.0,2254.0,3570.0,2254.0,2.0,8.5,7.0,16.0,25.0,10794.0,1.0,34.0,178852,13266,Other,Many
4231,4.0,12.0,Vex,Side.red,6.0,2692.0,2692.0,2692.0,2.0,4.0,2.0,13.0,16.0,11070.0,1.0,24.0,100826,7884,Other,Many
4232,,12.0,Irelia,Side.blue,0.0,3533.0,5111.0,3533.0,8.0,1.125,9.0,14.0,13.0,31424.0,2.0,20.0,149069,11715,TopLane_Jungle,Many
4233,4.0,12.0,TwistedFate,Side.red,6.0,319.0,2400.0,,10.0,1.1,5.0,14.0,34.0,22809.0,0.0,17.0,80583,9941,Other,Many
4234,4.0,7.0,Jhin,Side.blue,12.0,6103.0,10456.0,6103.0,3.0,6.666666667,8.0,15.0,18.0,12742.0,4.0,12.0,153499,12067,Other,Many
4235,4.0,11.0,,Side.red,11.0,,16831.0,717.0,7.0,4.1428571430000005,18.0,16.0,40.0,36166.0,,35.0,166241,14934,TopLane_Jungle,Few
4236,4.0,11.0,Kayn,Side.red,2.0,0.0,5823.0,0.0,4.0,2.25,7.0,12.0,6.0,15941.0,0.0,12.0,104232,8875,TopLane_Jungle,Few
4237,12.0,4.0,Jayce,Side.red,7.0,3309.0,13136.0,3309.0,6.0,,,18.0,5.0,30070.0,1.0,19.0,298297,18467,TopLane_Jungle,Many
4238,11.0,4.0,Ivern,Side.blue,12.0,3776.0,26711.0,3776.0,2.0,8.0,4.0,14.0,21.0,7116.0,1.0,19.0,280058,9556,TopLane_Jungle,Few
4239,14.0,4.0,Taric,Side.blue,9.0,0.0,0.0,0.0,5.0,2.0,1.0,8.0,25.0,9733.0,0.0,19.0,11846,4205,Other,Few
4240,4.0,12.0,Jayce,Side.blue,5.0,6379.0,12751.0,6379.0,6.0,2.833333333,,16.0,11.0,,3.0,25.0,145258,13769,TopLane_Jungle,Many
4241,4.0,12.0,Malzahar,Side.blue,8.0,3837.0,13087.0,3837.0,11.0,1.363636364,7.0,,82.0,,2.0,47.0,180067,14297,Other,Many
4242,12.0,,TwistedFate,Side.blue,9.0,825.0,825.0,,4.0,2.75,2.0,13.0,40.0,15869.0,0.0,,103552,8945,Other,Many
4243,14.0,12.0,Fiora,Side.blue,10.0,9465.0,18067.0,9465.0,7.0,2.0,4.0,18.0,12.0,51727.0,4.0,24.0,192507,14299,TopLane_Jungle,Many
4244,4.0,12.0,Leblanc,Side.blue,5.0,2553.0,2553.0,2553.0,1.0,8.0,3.0,13.0,12.0,9337.0,2.0,21.0,72758,8691,TopLane_Jungle,Many
4245,4.0,12.0,Graves,Side.red,2.0,4819.0,12396.0,4819.0,4.0,1.25,3.0,16.0,16.0,,2.0,26.0,211131,12405,TopLane_Jungle,Many
4246,,11.0,JarvanIV,Side.red,3.0,140.0,8424.0,140.0,4.0,3.5,,11.0,25.0,20701.0,0.0,,93037,9321,TopLane_Jungle,Few
4247,4.0,3.0,Draven,Side.red,7.0,808.0,893.0,808.0,9.0,0.8888888890000001,1.0,11.0,4.0,15764.0,0.0,7.0,65294,6865,Other,Many
4248,12.0,4.0,Singed,Side.red,7.0,3380.0,7179.0,3380.0,4.0,2.25,2.0,14.0,20.0,18150.0,1.0,21.0,93585,9004,Other,Many
4249,4.0,11.0,Graves,Side.blue,12.0,859.0,19454.0,859.0,8.0,2.0,4.0,16.0,14.0,26217.0,1.0,31.0,169708,11654,TopLane_Jungle,Few
4250,12.0,4.0,Veigar,Side.red,13.0,12663.0,20921.0,12663.0,6.0,5.333333333,,18.0,45.0,21538.0,6.0,32.0,210730,20286,Other,Many
4251,14.0,4.0,Akshan,Side.blue,1.0,231.0,231.0,231.0,8.0,0.5,3.0,13.0,0.0,12677.0,1.0,9.0,85858,8186,Other,Many
4252,4.0,14.0,Kassadin,Side.blue,11.0,2646.0,2646.0,2646.0,2.0,9.0,7.0,14.0,10.0,12064.0,1.0,10.0,108751,10743,Other,Many
4253,12.0,14.0,Qiyana,Side.red,9.0,0.0,0.0,0.0,11.0,1.818181818,11.0,14.0,10.0,23784.0,0.0,18.0,85509,12690,TopLane_Jungle,Many
4254,,,Qiyana,Side.blue,8.0,3282.0,48287.0,3282.0,2.0,9.5,11.0,15.0,25.0,24911.0,2.0,34.0,199618,15044,TopLane_Jungle,Few
4255,11.0,4.0,LeeSin,Side.blue,1.0,,16951.0,218.0,6.0,1.166666667,6.0,,18.0,28068.0,1.0,17.0,106097,9100,TopLane_Jungle,Few
4256,14.0,4.0,Yone,Side.red,6.0,789.0,3312.0,789.0,11.0,0.818181818,3.0,15.0,12.0,22177.0,0.0,16.0,156043,10002,TopLane_Jungle,Many
4257,4.0,7.0,Caitlyn,Side.red,1.0,1443.0,1443.0,1443.0,5.0,0.6,2.0,8.0,9.0,7076.0,0.0,10.0,34111,5011,Other,Few
4258,21.0,4.0,Warwick,Side.red,6.0,1263.0,2616.0,1263.0,9.0,1.222222222,5.0,15.0,20.0,38041.0,,12.0,116714,10363,TopLane_Jungle,Many
